"","prefecture","time","birth"
"1","Aichi",2013,1306.01923076923
"2","Aichi",2013.01923076923,1305.61686390533
"3","Aichi",2013.03846153846,1305.21449704142
"4","Aichi",2013.05769230769,1304.81213017751
"5","Aichi",2013.07692307692,1304.40976331361
"6","Aichi",2013.09615384615,1304.0073964497
"7","Aichi",2013.11538461538,1303.6050295858
"8","Aichi",2013.13461538462,1303.20266272189
"9","Aichi",2013.15384615385,1302.80029585799
"10","Aichi",2013.17307692308,1302.39792899408
"11","Aichi",2013.19230769231,1301.99556213018
"12","Aichi",2013.21153846154,1301.59319526627
"13","Aichi",2013.23076923077,1301.19082840237
"14","Aichi",2013.25,1300.78846153846
"15","Aichi",2013.26923076923,1300.38609467456
"16","Aichi",2013.28846153846,1299.98372781065
"17","Aichi",2013.30769230769,1299.58136094674
"18","Aichi",2013.32692307692,1299.17899408284
"19","Aichi",2013.34615384615,1298.77662721894
"20","Aichi",2013.36538461538,1298.37426035503
"21","Aichi",2013.38461538462,1297.97189349112
"22","Aichi",2013.40384615385,1297.56952662722
"23","Aichi",2013.42307692308,1297.16715976331
"24","Aichi",2013.44230769231,1296.76479289941
"25","Aichi",2013.46153846154,1296.3624260355
"26","Aichi",2013.48076923077,1295.9600591716
"27","Aichi",2013.5,1295.55769230769
"28","Aichi",2013.51923076923,1295.15532544379
"29","Aichi",2013.53846153846,1294.75295857988
"30","Aichi",2013.55769230769,1294.35059171597
"31","Aichi",2013.57692307692,1293.94822485207
"32","Aichi",2013.59615384615,1293.54585798817
"33","Aichi",2013.61538461538,1293.14349112426
"34","Aichi",2013.63461538462,1292.74112426035
"35","Aichi",2013.65384615385,1292.33875739645
"36","Aichi",2013.67307692308,1291.93639053254
"37","Aichi",2013.69230769231,1291.53402366864
"38","Aichi",2013.71153846154,1291.13165680473
"39","Aichi",2013.73076923077,1290.72928994083
"40","Aichi",2013.75,1290.32692307692
"41","Aichi",2013.76923076923,1289.92455621302
"42","Aichi",2013.78846153846,1289.52218934911
"43","Aichi",2013.80769230769,1289.11982248521
"44","Aichi",2013.82692307692,1288.7174556213
"45","Aichi",2013.84615384615,1288.3150887574
"46","Aichi",2013.86538461538,1287.91272189349
"47","Aichi",2013.88461538462,1287.51035502958
"48","Aichi",2013.90384615385,1287.10798816568
"49","Aichi",2013.92307692308,1286.70562130178
"50","Aichi",2013.94230769231,1286.30325443787
"51","Aichi",2013.96153846154,1285.90088757396
"52","Aichi",2013.98076923077,1285.49852071006
"53","Aichi",2014,1285.09615384615
"54","Aichi",2014.01923076923,1284.50221893491
"55","Aichi",2014.03846153846,1283.90828402367
"56","Aichi",2014.05769230769,1283.31434911242
"57","Aichi",2014.07692307692,1282.72041420118
"58","Aichi",2014.09615384615,1282.12647928994
"59","Aichi",2014.11538461538,1281.5325443787
"60","Aichi",2014.13461538462,1280.93860946745
"61","Aichi",2014.15384615385,1280.34467455621
"62","Aichi",2014.17307692308,1279.75073964497
"63","Aichi",2014.19230769231,1279.15680473373
"64","Aichi",2014.21153846154,1278.56286982248
"65","Aichi",2014.23076923077,1277.96893491124
"66","Aichi",2014.25,1277.375
"67","Aichi",2014.26923076923,1276.78106508876
"68","Aichi",2014.28846153846,1276.18713017752
"69","Aichi",2014.30769230769,1275.59319526627
"70","Aichi",2014.32692307692,1274.99926035503
"71","Aichi",2014.34615384615,1274.40532544379
"72","Aichi",2014.36538461538,1273.81139053255
"73","Aichi",2014.38461538462,1273.2174556213
"74","Aichi",2014.40384615385,1272.62352071006
"75","Aichi",2014.42307692308,1272.02958579882
"76","Aichi",2014.44230769231,1271.43565088758
"77","Aichi",2014.46153846154,1270.84171597633
"78","Aichi",2014.48076923077,1270.24778106509
"79","Aichi",2014.5,1269.65384615385
"80","Aichi",2014.51923076923,1269.05991124261
"81","Aichi",2014.53846153846,1268.46597633136
"82","Aichi",2014.55769230769,1267.87204142012
"83","Aichi",2014.57692307692,1267.27810650888
"84","Aichi",2014.59615384615,1266.68417159763
"85","Aichi",2014.61538461538,1266.09023668639
"86","Aichi",2014.63461538462,1265.49630177515
"87","Aichi",2014.65384615385,1264.9023668639
"88","Aichi",2014.67307692308,1264.30843195266
"89","Aichi",2014.69230769231,1263.71449704142
"90","Aichi",2014.71153846154,1263.12056213017
"91","Aichi",2014.73076923077,1262.52662721893
"92","Aichi",2014.75,1261.93269230769
"93","Aichi",2014.76923076923,1261.33875739645
"94","Aichi",2014.78846153846,1260.74482248521
"95","Aichi",2014.80769230769,1260.15088757396
"96","Aichi",2014.82692307692,1259.55695266272
"97","Aichi",2014.84615384615,1258.96301775148
"98","Aichi",2014.86538461538,1258.36908284024
"99","Aichi",2014.88461538462,1257.77514792899
"100","Aichi",2014.90384615385,1257.18121301775
"101","Aichi",2014.92307692308,1256.58727810651
"102","Aichi",2014.94230769231,1255.99334319527
"103","Aichi",2014.96153846154,1255.39940828402
"104","Aichi",2014.98076923077,1254.80547337278
"105","Aichi",2015,1254.21153846154
"106","Aichi",2015.01923076923,1254.35798816568
"107","Aichi",2015.03846153846,1254.50443786982
"108","Aichi",2015.05769230769,1254.65088757397
"109","Aichi",2015.07692307692,1254.79733727811
"110","Aichi",2015.09615384615,1254.94378698225
"111","Aichi",2015.11538461538,1255.09023668639
"112","Aichi",2015.13461538462,1255.23668639053
"113","Aichi",2015.15384615385,1255.38313609467
"114","Aichi",2015.17307692308,1255.52958579882
"115","Aichi",2015.19230769231,1255.67603550296
"116","Aichi",2015.21153846154,1255.8224852071
"117","Aichi",2015.23076923077,1255.96893491124
"118","Aichi",2015.25,1256.11538461538
"119","Aichi",2015.26923076923,1256.26183431953
"120","Aichi",2015.28846153846,1256.40828402367
"121","Aichi",2015.30769230769,1256.55473372781
"122","Aichi",2015.32692307692,1256.70118343195
"123","Aichi",2015.34615384615,1256.84763313609
"124","Aichi",2015.36538461538,1256.99408284024
"125","Aichi",2015.38461538462,1257.14053254438
"126","Aichi",2015.40384615385,1257.28698224852
"127","Aichi",2015.42307692308,1257.43343195266
"128","Aichi",2015.44230769231,1257.5798816568
"129","Aichi",2015.46153846154,1257.72633136095
"130","Aichi",2015.48076923077,1257.87278106509
"131","Aichi",2015.5,1258.01923076923
"132","Aichi",2015.51923076923,1258.16568047337
"133","Aichi",2015.53846153846,1258.31213017751
"134","Aichi",2015.55769230769,1258.45857988166
"135","Aichi",2015.57692307692,1258.6050295858
"136","Aichi",2015.59615384615,1258.75147928994
"137","Aichi",2015.61538461538,1258.89792899408
"138","Aichi",2015.63461538462,1259.04437869823
"139","Aichi",2015.65384615385,1259.19082840237
"140","Aichi",2015.67307692308,1259.33727810651
"141","Aichi",2015.69230769231,1259.48372781065
"142","Aichi",2015.71153846154,1259.63017751479
"143","Aichi",2015.73076923077,1259.77662721894
"144","Aichi",2015.75,1259.92307692308
"145","Aichi",2015.76923076923,1260.06952662722
"146","Aichi",2015.78846153846,1260.21597633136
"147","Aichi",2015.80769230769,1260.3624260355
"148","Aichi",2015.82692307692,1260.50887573965
"149","Aichi",2015.84615384615,1260.65532544379
"150","Aichi",2015.86538461538,1260.80177514793
"151","Aichi",2015.88461538462,1260.94822485207
"152","Aichi",2015.90384615385,1261.09467455621
"153","Aichi",2015.92307692308,1261.24112426035
"154","Aichi",2015.94230769231,1261.3875739645
"155","Aichi",2015.96153846154,1261.53402366864
"156","Aichi",2015.98076923077,1261.68047337278
"157","Aichi",2016,1261.82692307692
"158","Aichi",2016.01923076923,1261.3150887574
"159","Aichi",2016.03846153846,1260.80325443787
"160","Aichi",2016.05769230769,1260.29142011834
"161","Aichi",2016.07692307692,1259.77958579882
"162","Aichi",2016.09615384615,1259.26775147929
"163","Aichi",2016.11538461538,1258.75591715977
"164","Aichi",2016.13461538462,1258.24408284023
"165","Aichi",2016.15384615385,1257.73224852071
"166","Aichi",2016.17307692308,1257.22041420118
